iter	Passed	Remaining
252	373	1101
253	374	1098
254	375	1095
255	376	1092
256	377	1090
257	378	1087
258	379	1084
259	380	1081
260	380	1078
261	381	1075
262	383	1073
263	384	1071
264	385	1068
265	386	1065
266	386	1062
267	387	1059
268	388	1056
269	389	1053
270	390	1050
271	391	1048
272	392	1045
273	393	1043
274	394	1040
275	395	1037
276	396	1034
277	397	1032
278	398	1029
279	399	1026
280	400	1024
281	401	1021
282	402	1018
283	402	1015
284	403	1013
285	404	1010
286	405	1007
287	406	1005
288	407	1002
289	408	999
290	409	997
291	410	994
292	411	992
293	412	990
294	413	987
295	414	985
296	415	982
297	416	980
298	417	978
299	418	975
300	419	973
301	420	970
302	421	968
303	422	967
304	423	965
305	424	963
306	426	961
307	427	959
308	428	957
309	429	955
310	430	953
311	431	951
312	432	948
313	433	946
314	434	944
315	435	941
316	435	939
317	436	937
318	437	934
319	438	932
320	439	930
321	440	928
322	441	925
323	442	924
324	443	922
325	445	920
326	445	917
327	446	915
328	448	913
329	449	911
330	449	909
331	450	907
332	451	905
333	453	903
334	454	901
335	455	899
336	456	897
337	457	895
338	458	893
339	459	891
340	460	889
341	461	886
342	461	884
343	462	882
344	463	880
345	464	878
346	465	876
347	466	874
348	467	872
349	468	870
350	469	868
351	470	866
352	471	863
353	472	861
354	473	859
355	473	857
356	474	854
357	475	852
358	476	850
359	477	848
360	478	846
361	479	844
362	480	843
363	481	841
364	482	839
365	483	837
366	484	836
367	485	834
368	486	832
369	487	830
370	488	828
371	489	826
372	490	824
373	491	822
374	492	820
375	493	818
376	494	816
377	495	814
378	495	812
379	496	810
380	497	808
381	498	806
382	499	804
383	500	803
384	501	801
385	502	799
386	503	797
387	504	795
388	505	793
389	506	792
390	507	790
391	508	788
392	509	786
393	510	784
394	511	782
395	512	780
396	512	779
397	513	777
398	514	775
399	515	773
400	516	771
401	517	769
402	518	767
403	519	766
404	520	764
405	521	762
406	522	761
407	523	759
408	524	757
409	525	755
410	526	753
411	527	752
412	527	750
413	528	748
414	529	746
415	530	745
416	531	743
417	532	741
418	533	739
419	534	738
420	535	736
421	536	734
422	537	732
423	538	731
424	538	729
425	539	727
426	540	725
427	541	724
428	542	722
429	543	720
430	544	718
431	545	716
432	545	714
433	546	713
434	547	711
435	548	709
436	549	707
437	550	706
438	551	704
439	552	702
440	553	701
441	554	699
442	555	697
443	556	696
444	556	694
445	557	692
446	558	691
447	559	689
448	560	688
449	561	686
450	562	684
451	563	683
452	564	681
453	565	679
454	566	678
455	567	676
456	567	674
457	568	673
458	569	671
459	570	669
460	571	668
461	572	666
462	573	664
463	574	663
464	575	661
465	576	660
466	576	658
467	577	657
468	578	655
469	579	653
470	580	652
471	581	650
472	582	649
473	583	647
474	584	645
475	585	644
476	586	642
477	587	641
478	588	639
479	588	638
480	589	636
481	590	634
482	591	633
